block_number,tx_hash,market,liquidator,borrower,repay_amount_raw,seize_tokens_raw
50227702,0xb1c3112d7987123b19ea6b0cf68b6dace376a3d6c71d217fd8846ee3c8a2c6cf,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xC5d497972e0479e33C493b7cB00a1793424A851a,108378,245096
50227723,0xe70f9cdfd36fcbbe0fa1a59cd46ed31735d47de57291af095b2a5d1aea2db855,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x3e2178CF851A0e5cbF84c0ff53f820ad7EAD703b,106738,241814
50230169,0x210ca3b9d8e1827f3ca6e3255aea858e461ca65d70be505a33bf79c9248a94d7,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x4aeC74a69b943BE31E02307b3b05156Eb98F5E32,88093410724210,466895
50230512,0xd379b129f013f18232c8f107178a9c5fcb1d2ad10f3f339184a16f177948145e,0x628ff693426583D9a7FB391E54366292F509D457,0xfa35CF1aCf6795e432CF06820605953B4A3e37e8,0xd34fc549D72f83DDce2a63908720847Dc06e873D,3637272739193078,19277579
50236322,0x59c0fece466606b44f3e95b84b7ba80f263e555c216db4a30f959e28498ee826,0x703843C3379b52F9FF486c9f5892218d2a065cC8,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x5a98d87D2f53FF626322A5d9e08eD1C33E6D5e12,120822,276030
50239508,0x712a58cbac1adb9f45fbdcf80446298be9b50498a583655cf7588cf7c48482ee,0x627Fe393Bc6EdDA28e99AE648fD6fF362514304b,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x56fF73B9e13B1F3f61fFccdd2b92F419Aeb97F87,95895113055234,1318112499
50255562,0x80b6b50c5a2af8fce8115336035f1f318b300b41ff10409e96e9587331a3584c,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xE5C91119dFF7e04cd6834a9c9D0A66380EdB4aF5,0x6BFAAD45DfaCb6336891e720E9E8259E511dEdCC,1362860470,5425002981346
50256392,0x3d55c99162c139d3dc0c6a3b11f2df523581cc100e09716904ae8ebcec36d75e,0xF877ACaFA28c19b96727966690b2f44d35aD5976,0x8aCf7afC056397CA51e115E4c2Cac09A39e12492,0x672B76004381287fff07ef05D22Fee4433DD20EB,87892701,325366671713235
50265338,0x60196f025f803d9888a38542c04500c7d80a7ca014c064c87a912f78c76121fc,0xdE8Df9d942D78edE3Ca06e60712582F79CFfFC64,0x8aCf7afC056397CA51e115E4c2Cac09A39e12492,0x7338383c9CDFDb4191fc55EE148FaD3b5d84f04B,568748688741788159831,1706591955859
50267785,0x267acbd7dc8519be24fd60a839b95e6117d37190ef39044d60bc5f8259658f92,0xdE8Df9d942D78edE3Ca06e60712582F79CFfFC64,0xA00003B2e58e808bCb536041045a5d0F7750c777,0x7338383c9CDFDb4191fc55EE148FaD3b5d84f04B,452788311671034851651,1376973741337
